ocid,releasedate,aw_value
ocds-0c46vo-0353-JUN298949,2019-06-20 00:00:00.000000,14.0
ocds-0c46vo-0353-JUN298954,2019-06-20 00:00:00.000000,14.5
ocds-0c46vo-0353-JUN298953,2019-06-20 00:00:00.000000,14.0
ocds-0c46vo-0353-JUN298958,2019-06-20 00:00:00.000000,14.0
ocds-0c46vo-0353-JUN298957,2019-06-20 00:00:00.000000,14.0
ocds-0c46vo-0353-JUN298956,2019-06-20 00:00:00.000000,14.5
ocds-0c46vo-0353-JUN298955,2019-06-20 00:00:00.000000,14.0
ocds-0c46vo-0353-JUN298963,2019-06-20 00:00:00.000000,14.0
ocds-0c46vo-0353-JUN298962,2019-06-20 00:00:00.000000,14.0
ocds-0c46vo-0353-JUN298961,2019-06-20 00:00:00.000000,14.0
ocds-0c46vo-0353-JUN298960,2019-06-20 00:00:00.000000,14.0
ocds-0c46vo-0353-JUN298959,2019-06-20 00:00:00.000000,15.0
ocds-0c46vo-0353-JUN298965,2019-06-20 00:00:00.000000,44.0
ocds-0c46vo-0353-JUN298964,2019-06-20 00:00:00.000000,996000.0
ocds-0c46vo-0353-JUN298972,2019-06-20 00:00:00.000000,3565.0
ocds-0c46vo-0353-JUN298971,2019-06-20 00:00:00.000000,3117.71
ocds-0c46vo-0353-JUN298969,2019-06-20 00:00:00.000000,141000.0
ocds-0c46vo-0384-47QSCC19F5282,2019-11-17 07:09:41.084130,225.36
ocds-0c46vo-0353-JUN298974,2019-06-20 00:00:00.000000,7864205.0
ocds-0c46vo-0353-JUN298973,2019-06-20 00:00:00.000000,961.0
ocds-0c46vo-0353-JUN298978,2019-06-20 00:00:00.000000,526080.0
ocds-0c46vo-0384-SPE2D619F70RF,2019-11-16 17:19:54.906874,3.0
ocds-0c46vo-0384-SPE2DX19FP0NW,2019-11-16 12:39:09.985406,1777.19
ocds-0c46vo-0384-SPE8ES19F4015,2019-11-16 08:46:42.415047,132.25
ocds-0c46vo-0353-JUN298976,2019-06-20 00:00:00.000000,260000.0
ocds-0c46vo-0353-JUN298981,2019-06-20 00:00:00.000000,4000000.0
ocds-0c46vo-0384-47QSEA19FA6RV,2019-11-17 07:04:59.797374,79.3
ocds-0c46vo-0353-JUN298980,2019-06-20 00:00:00.000000,3702951.33
ocds-0c46vo-0353-JUN298984,2019-06-20 00:00:00.000000,246000000.0
ocds-0c46vo-0353-JUN298990,2019-06-20 00:00:00.000000,483750.0
ocds-0c46vo-0384-SPE2DX19FN0G8,2019-11-16 17:19:42.429951,770.82
ocds-0c46vo-0353-JUN357614,2019-06-19 00:00:00.000000,135938.0
ocds-0c46vo-0353-JUN357418,2019-06-17 00:00:00.000000,6037.0
ocds-0c46vo-0384-47QSEA19FA7AM,2019-11-17 07:03:38.244960,78.0
ocds-0c46vo-0353-JUN357615,2019-06-19 00:00:00.000000,168259.05
ocds-0c46vo-0353-JUN357616,2019-06-19 00:00:00.000000,219833.2
ocds-0c46vo-0353-JUN357624,2019-06-19 00:00:00.000000,1897830.0
ocds-0c46vo-0353-JUN357625,2019-06-19 00:00:00.000000,32987.0
ocds-0c46vo-0353-JUN357649,2019-06-19 00:00:00.000000,1200000.0
ocds-0c46vo-0353-JUN357650,2019-06-19 00:00:00.000000,320000.0
ocds-0c46vo-0384-SPE4A619FBJJ8,2019-11-16 17:19:19.972449,3.69
ocds-0c46vo-0353-JUN357651,2019-06-19 00:00:00.000000,645000.0
ocds-0c46vo-0353-JUN357678,2019-06-19 00:00:00.000000,233514.0
ocds-0c46vo-0353-JUN357693,2019-06-19 00:00:00.000000,755977.67
ocds-0c46vo-0353-JUN357419,2019-06-17 00:00:00.000000,12054.0
ocds-0c46vo-0353-JUN357707,2019-06-19 00:00:00.000000,43467.0
ocds-0c46vo-0353-JUN357710,2019-06-19 00:00:00.000000,75000.0
ocds-0c46vo-0353-JUN357734,2019-06-19 00:00:00.000000,52369.2
ocds-0c46vo-0353-JUN357739,2019-06-19 00:00:00.000000,115376.0
ocds-0c46vo-0353-JUN357742,2019-06-19 00:00:00.000000,115376.0
ocds-0c46vo-0353-JUN298766,2019-06-19 00:00:00.000000,35500.0
ocds-0c46vo-0353-JUN298767,2019-06-19 00:00:00.000000,295000.0
ocds-0c46vo-0353-JUN298790,2019-06-19 00:00:00.000000,800000000.0
ocds-0c46vo-0353-JUN298812,2019-06-19 00:00:00.000000,1200000.0
ocds-0c46vo-0353-JUN298816,2019-06-19 00:00:00.000000,254503.5
ocds-0c46vo-0353-JUN298815,2019-06-19 00:00:00.000000,54740000.0
ocds-0c46vo-0353-JUN298813,2019-06-19 00:00:00.000000,645000.0
ocds-0c46vo-0353-JUN298822,2019-06-19 00:00:00.000000,3540378.0
ocds-0c46vo-0353-JUN298821,2019-06-19 00:00:00.000000,29370.0
ocds-0c46vo-0384-HSFE0707P0025,2019-11-17 07:01:42.593929,2293.6
ocds-0c46vo-0384-SPE2DV19FG7DJ,2019-11-16 12:39:08.278685,1787.95
ocds-0c46vo-0384-SPE4A619FZ0NP,2019-11-16 08:46:05.472744,34.5
